FPGA idle power [mW]:,3498.5

Program energy [mJ]:,2.32

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,17.6
20000,0.001,34.9
40000,0.002,32.4
60000,0.003,21.9
80000,0.004,36.3
100000,0.005,43.5
120000,0.006,34.9
140000,0.007,43.5
160000,0.008,39.2
180000,0.009,30.6
200000,0.010,37.8
220000,0.011,35.5
240000,0.012,40.6
260000,0.013,29.1
280000,0.014,36.3
300000,0.015,39.2
320000,0.016,40.6
340000,0.017,40.6
360000,0.018,34.9
380000,0.019,34.9
400000,0.020,44.8
420000,0.021,40.6
440000,0.022,29.1
460000,0.023,33.4
480000,0.024,32.0
500000,0.025,34.9
520000,0.026,23.4
540000,0.027,34.9
560000,0.028,34.9
580000,0.029,23.1
600000,0.030,30.6
620000,0.031,24.8
640000,0.032,36.3
660000,0.033,16.2
680000,0.034,27.7
700000,0.035,29.1
720000,0.036,24.8
740000,0.037,33.4
760000,0.038,34.0
780000,0.039,30.6
800000,0.040,27.7
820000,0.041,33.4
840000,0.042,33.4
860000,0.043,24.8
880000,0.044,23.4
900000,0.045,30.6
920000,0.046,27.7
940000,0.047,21.6
960000,0.048,19.1
980000,0.049,10.4
1000000,0.050,14.7
1020000,0.051,19.1
1040000,0.052,17.6
1060000,0.053,11.9
1080000,0.054,17.6
1100000,0.055,17.6
1120000,0.056,15.4
1140000,0.057,14.7
1160000,0.058,16.2
1180000,0.059,14.7
1200000,0.060,17.6
1220000,0.061,14.7
1240000,0.062,11.9
1260000,0.063,9.0
1280000,0.064,21.9
1300000,0.065,12.3
1320000,0.066,14.7
1340000,0.067,17.6
1360000,0.068,20.5
1380000,0.069,16.2
1400000,0.070,16.2
1420000,0.071,11.9
1440000,0.072,17.6
1460000,0.073,17.6
1480000,0.074,12.3
1500000,0.075,14.7
1520000,0.076,13.3
1540000,0.077,11.9
1560000,0.078,14.7
1580000,0.079,14.7
1600000,0.080,7.5
1620000,0.081,17.6
1640000,0.082,17.6
1660000,0.083,13.9
1680000,0.084,19.1
1700000,0.085,19.1
1720000,0.086,14.7
1740000,0.087,20.5
1760000,0.088,19.1
1780000,0.089,14.7
1800000,0.090,13.3
1820000,0.091,14.7
1840000,0.092,12.3
1860000,0.093,10.4
1880000,0.094,20.5
1900000,0.095,14.7
1920000,0.096,11.9
1940000,0.097,10.4
1960000,0.098,19.1
